time,NAME,X,Y,SPD,HDG,TYPE,COLOR,MODE,ALLSTOP,TIME,LENGTH,src
1722606190.791326,ned,12.85,0.65,0.01,149.25,kayak,gray70,PARK,ManualOverride,123,1722606190.79,4,pNodeReporter
1722606193.8050761,ned,12.92,0.5,0.01,149.25,kayak,gray70,PARK,ManualOverride,124,1722606193.8,4,pNodeReporter
1722606196.818906,ned,12.91,0.31,0.01,149.25,kayak,gray70,PARK,ManualOverride,125,1722606196.82,4,pNodeReporter
1722606199.8328161,ned,12.91,0.2,0.02,149.25,kayak,gray70,PARK,ManualOverride,126,1722606199.83,4,pNodeReporter
1722606202.8468761,ned,12.87,0.22,0.01,149.25,kayak,gray70,PARK,ManualOverride,127,1722606202.85,4,pNodeReporter
1722606205.861426,ned,12.81,0.33,0.03,149.25,kayak,gray70,PARK,ManualOverride,128,1722606205.86,4,pNodeReporter
1722606208.875766,ned,12.76,0.41,0.01,149.25,kayak,gray70,PARK,ManualOverride,129,1722606208.88,4,pNodeReporter
1722606211.889986,ned,12.72,0.54,0.02,149.25,kayak,gray70,PARK,ManualOverride,130,1722606211.89,4,pNodeReporter
1722606214.904236,ned,12.68,0.61,0.01,149.25,kayak,gray70,PARK,ManualOverride,131,1722606214.9,4,pNodeReporter
1722606217.917026,ned,12.69,0.67,0.01,149.25,kayak,gray70,PARK,ManualOverride,132,1722606217.92,4,pNodeReporter
1722606220.925236,ned,12.69,0.78,0.01,149.25,kayak,gray70,PARK,ManualOverride,133,1722606220.93,4,pNodeReporter
1722606223.937136,ned,12.72,0.85,0.02,149.25,kayak,gray70,PARK,ManualOverride,134,1722606223.94,4,pNodeReporter
1722606226.951416,ned,12.72,0.85,0.01,149.25,kayak,gray70,PARK,ManualOverride,135,1722606226.95,4,pNodeReporter
1722606229.965126,ned,12.76,0.87,0.01,149.25,kayak,gray70,PARK,ManualOverride,136,1722606229.96,4,pNodeReporter
1722606232.9734561,ned,12.73,0.89,0.01,149.25,kayak,gray70,PARK,ManualOverride,137,1722606232.97,4,pNodeReporter
1722606235.983886,ned,12.69,0.87,0.03,149.25,kayak,gray70,PARK,ManualOverride,138,1722606235.98,4,pNodeReporter
1722606238.997576,ned,12.65,0.87,0.01,149.25,kayak,gray70,PARK,ManualOverride,139,1722606239,4,pNodeReporter
1722606242.007356,ned,12.63,0.72,0.24,155.69,kayak,gray70,PARK,ManualOverride,140,1722606242.01,4,pNodeReporter
1722606242.258506,ned,12.65,0.69,0.24,160.24,kayak,gray70,PARK,ManualOverride,141,1722606242.26,4,pNodeReporter
1722606242.383946,ned,12.69,0.61,0.34,155.78,kayak,gray70,PARK,ManualOverride,142,1722606242.38,4,pNodeReporter
1722606243.010756,ned,12.79,0.43,0.41,151.76,kayak,gray70,PARK,ManualOverride,143,1722606243.01,4,pNodeReporter
1722606243.637666,ned,12.92,0.02,0.79,156.91,kayak,gray70,PARK,ManualOverride,144,1722606243.64,4,pNodeReporter
1722606243.888556,ned,12.98,-0.04,0.64,153.62,kayak,gray70,PARK,ManualOverride,145,1722606243.89,4,pNodeReporter
1722606244.2647161,ned,13.05,-0.15,0.36,151.39,kayak,gray70,PARK,ManualOverride,146,1722606244.26,4,pNodeReporter
1722606246.2731361,ned,13.48,-0.94,0.41,149.39,kayak,gray70,PARK,ManualOverride,147,1722606246.27,4,pNodeReporter
1722606247.026686,ned,13.63,-1.19,0.4,151.84,kayak,gray70,PARK,ManualOverride,148,1722606247.03,4,pNodeReporter
1722606248.659266,ned,13.95,-1.74,0.41,149.69,kayak,gray70,PARK,ManualOverride,149,1722606248.66,4,pNodeReporter
1722606249.0361362,ned,14.04,-1.85,0.39,147.44,kayak,gray70,PARK,ManualOverride,150,1722606249.04,4,pNodeReporter
1722606249.915146,ned,14.21,-2.04,0.34,144.61,kayak,gray70,PARK,ManualOverride,151,1722606249.91,4,pNodeReporter
1722606250.291326,ned,14.3,-2.11,0.4,142.45,kayak,gray70,PARK,ManualOverride,152,1722606250.29,4,pNodeReporter
1722606250.9181361,ned,14.47,-2.26,0.44,139.61,kayak,gray70,PARK,ManualOverride,153,1722606250.92,4,pNodeReporter
1722606251.294266,ned,14.59,-2.33,0.4,137.06,kayak,gray70,PARK,ManualOverride,154,1722606251.29,4,pNodeReporter
1722606251.921076,ned,14.76,-2.45,0.38,134.13,kayak,gray70,PARK,ManualOverride,155,1722606251.92,4,pNodeReporter
1722606252.422646,ned,14.89,-2.56,0.36,131.17,kayak,gray70,PARK,ManualOverride,156,1722606252.42,4,pNodeReporter
1722606252.798726,ned,15.02,-2.61,0.41,129,kayak,gray70,PARK,ManualOverride,157,1722606252.8,4,pNodeReporter
1722606253.049526,ned,15.1,-2.65,0.43,125.94,kayak,gray70,PARK,ManualOverride,158,1722606253.05,4,pNodeReporter
1722606253.550976,ned,15.3,-2.78,0.44,122.95,kayak,gray70,PARK,ManualOverride,159,1722606253.55,4,pNodeReporter
1722606254.178726,ned,15.56,-2.91,0.48,119.21,kayak,gray70,PARK,ManualOverride,160,1722606254.18,4,pNodeReporter
1722606254.429116,ned,15.65,-2.95,0.46,115.67,kayak,gray70,PARK,ManualOverride,161,1722606254.43,4,pNodeReporter
1722606254.930806,ned,15.81,-3.02,0.44,112.46,kayak,gray70,PARK,ManualOverride,162,1722606254.93,4,pNodeReporter
1722606255.056516,ned,15.91,-3,0.45,108.21,kayak,gray70,PARK,ManualOverride,163,1722606255.06,4,pNodeReporter
1722606255.182266,ned,16,-2.98,0.42,105.43,kayak,gray70,PARK,ManualOverride,164,1722606255.18,4,pNodeReporter
1722606255.559176,ned,16.17,-3.02,0.37,99.47,kayak,gray70,PARK,ManualOverride,165,1722606255.56,4,pNodeReporter
1722606255.810326,ned,16.26,-3.06,0.37,96.4,kayak,gray70,PARK,ManualOverride,166,1722606255.81,4,pNodeReporter
1722606255.936096,ned,16.34,-3.06,0.36,91.64,kayak,gray70,PARK,ManualOverride,167,1722606255.94,4,pNodeReporter
1722606256.313006,ned,16.45,-2.98,0.32,87.02,kayak,gray70,PARK,ManualOverride,168,1722606256.31,4,pNodeReporter
1722606256.438726,ned,16.52,-2.96,0.28,83.24,kayak,gray70,PARK,ManualOverride,169,1722606256.44,4,pNodeReporter
1722606256.815666,ned,16.63,-2.93,0.25,79.29,kayak,gray70,PARK,ManualOverride,170,1722606256.82,4,pNodeReporter
1722606257.067326,ned,16.7,-2.89,0.26,74.31,kayak,gray70,PARK,ManualOverride,171,1722606257.07,4,pNodeReporter
1722606257.193046,ned,16.74,-2.85,0.23,71.44,kayak,gray70,PARK,ManualOverride,172,1722606257.19,4,pNodeReporter
1722606257.569256,ned,16.86,-2.82,0.23,67.38,kayak,gray70,PARK,ManualOverride,173,1722606257.57,4,pNodeReporter
1722606258.572076,ned,17.1,-2.83,0.24,157.47,kayak,gray70,PARK,ManualOverride,174,1722606258.57,4,pNodeReporter
1722606258.6974761,ned,17.07,-2.91,0.36,197.19,kayak,gray70,PARK,ManualOverride,175,1722606258.7,4,pNodeReporter
1722606258.822956,ned,17.02,-3,0.48,206.91,kayak,gray70,PARK,ManualOverride,176,1722606258.82,4,pNodeReporter
1722606259.199206,ned,16.96,-3.24,0.69,199.02,kayak,gray70,PARK,ManualOverride,177,1722606259.2,4,pNodeReporter
1722606259.449936,ned,16.95,-3.37,0.73,193.76,kayak,gray70,PARK,ManualOverride,178,1722606259.45,4,pNodeReporter
1722606259.575356,ned,16.95,-3.56,0.84,186.87,kayak,gray70,PARK,ManualOverride,179,1722606259.58,4,pNodeReporter
1722606259.8261461,ned,16.97,-3.74,0.92,181.09,kayak,gray70,PARK,ManualOverride,180,1722606259.83,4,pNodeReporter
1722606260.076876,ned,16.99,-3.93,0.99,178.34,kayak,gray70,PARK,ManualOverride,181,1722606260.08,4,pNodeReporter
1722606260.4530761,ned,17.03,-4.37,1.12,175.88,kayak,gray70,PARK,ManualOverride,182,1722606260.45,4,pNodeReporter
1722606261.079856,ned,17.14,-5.08,1.22,173.02,kayak,gray70,PARK,ManualOverride,183,1722606261.08,4,pNodeReporter
1722606262.207986,ned,17.38,-6.61,1.38,170.41,kayak,gray70,PARK,ManualOverride,184,1722606262.21,4,pNodeReporter
1722606262.459296,ned,17.47,-6.85,1.39,168.06,kayak,gray70,PARK,ManualOverride,185,1722606262.46,4,pNodeReporter
1722606262.585056,ned,17.56,-7.13,1.43,165.6,kayak,gray70,PARK,ManualOverride,186,1722606262.58,4,pNodeReporter
1722606262.836376,ned,17.69,-7.37,1.41,162.24,kayak,gray70,PARK,ManualOverride,187,1722606262.84,4,pNodeReporter
1722606263.213246,ned,17.92,-7.87,1.42,158.12,kayak,gray70,PARK,ManualOverride,188,1722606263.21,4,pNodeReporter
1722606263.589996,ned,18.19,-8.32,1.37,154.15,kayak,gray70,PARK,ManualOverride,189,1722606263.59,4,pNodeReporter
1722606263.841266,ned,18.36,-8.56,1.41,151.83,kayak,gray70,PARK,ManualOverride,190,1722606263.84,4,pNodeReporter
1722606264.469346,ned,18.88,-9.34,1.58,149.14,kayak,gray70,PARK,ManualOverride,191,1722606264.47,4,pNodeReporter
1722606265.599636,ned,19.99,-11.06,1.73,149.21,kayak,gray70,PARK,ManualOverride,192,1722606265.6,4,pNodeReporter
1722606265.9764261,ned,20.14,-11.32,1.63,149.58,kayak,gray70,PARK,ManualOverride,193,1722606265.98,4,pNodeReporter
1722606266.479176,ned,20.68,-12.08,1.59,146.59,kayak,gray70,PARK,ManualOverride,194,1722606266.48,4,pNodeReporter
1722606267.859656,ned,21.85,-13.84,1.52,149.5,kayak,gray70,PARK,ManualOverride,195,1722606267.86,4,pNodeReporter
1722606268.486556,ned,22.3,-14.52,1.42,147.48,kayak,gray70,PARK,ManualOverride,196,1722606268.49,4,pNodeReporter
1722606268.8626661,ned,22.66,-14.95,1.44,144.47,kayak,gray70,PARK,ManualOverride,197,1722606268.86,4,pNodeReporter
1722606269.364106,ned,22.86,-15.19,1.51,142.71,kayak,gray70,PARK,ManualOverride,198,1722606269.36,4,pNodeReporter
1722606269.614846,ned,23.53,-15.84,1.56,136.96,kayak,gray70,PARK,ManualOverride,199,1722606269.61,4,pNodeReporter
1722606269.990966,ned,23.74,-16.04,1.52,136.47,kayak,gray70,PARK,ManualOverride,200,1722606269.99,4,pNodeReporter
1722606270.617816,ned,24.53,-16.91,1.45,138.96,kayak,gray70,PARK,ManualOverride,201,1722606270.62,4,pNodeReporter
1722606270.868506,ned,24.71,-17.17,1.57,141.6,kayak,gray70,PARK,ManualOverride,202,1722606270.87,4,pNodeReporter
